transaction_key,transaction_id,date_key,customer_key,account_key,category_key,merchant_key,channel_key,amount,abs_amount,transaction_type,status,is_flagged,is_recurring
104,TXN-000104,20230113,295,415,13,,2,1900.33,1900.33,Transfer,Completed,0,0
105,TXN-000105,20240421,48,964,3,7,3,-83.43,83.43,Expense,Completed,0,1
106,TXN-000106,20240605,387,219,10,,7,13165.62,13165.62,Income,Completed,0,1
107,TXN-000107,20230209,60,295,15,2,5,-1412.49,1412.49,Expense,Completed,0,1
108,TXN-000108,20220804,319,841,4,1,6,-103.3,103.3,Expense,Reversed,0,0
109,TXN-000109,20241230,214,556,1,7,4,-380.98,380.98,Expense,Completed,0,0
110,TXN-000110,20220722,106,191,9,5,7,-442.77,442.77,Expense,Failed,0,0
111,TXN-000111,20231228,44,652,13,,4,3882.22,3882.22,Transfer,Completed,0,0
112,TXN-000112,20241211,615,939,7,12,1,-140.12,140.12,Expense,Completed,0,0
113,TXN-000113,20231104,707,27,5,1,6,-53.02,53.02,Expense,Completed,0,0
114,TXN-000114,20240407,419,477,5,17,6,-25.03,25.03,Expense,Completed,0,0
115,TXN-000115,20240517,486,46,2,11,1,-1252.19,1252.19,Expense,Completed,0,1
116,TXN-000116,20240410,48,964,4,18,3,-489.57,489.57,Expense,Completed,0,0
117,TXN-000117,20240322,134,347,10,,5,4291.77,4291.77,Income,Completed,0,1
118,TXN-000118,20220406,135,379,14,,1,-2144.02,2144.02,Transfer,Completed,0,0
119,TXN-000119,20240228,240,636,4,13,2,-361.59,361.59,Expense,Completed,0,0
120,TXN-000120,20220602,376,205,18,15,4,-866.52,866.52,Expense,Completed,0,0
121,TXN-000121,20220927,545,829,16,14,7,-329.8,329.8,Expense,Completed,0,1
122,TXN-000122,20220318,604,910,1,6,7,-181.89,181.89,Expense,Completed,0,0
123,TXN-000123,20230203,537,209,10,,7,2234.24,2234.24,Income,Failed,0,1
124,TXN-000124,20240701,486,252,12,,3,524.98,524.98,Income,Completed,0,0
125,TXN-000125,20220603,150,701,5,4,3,-78.15,78.15,Expense,Completed,0,0
126,TXN-000126,20220704,238,438,5,2,1,-63.3,63.3,Expense,Reversed,0,0
127,TXN-000127,20230324,433,633,5,2,7,-71.31,71.31,Expense,Failed,0,0
128,TXN-000128,20220427,318,40,12,,3,1951.44,1951.44,Income,Completed,0,0
129,TXN-000129,20221008,767,316,7,4,1,-50.99,50.99,Expense,Completed,0,0
130,TXN-000130,20221023,302,65,3,1,5,-231.33,231.33,Expense,Completed,0,1
131,TXN-000131,20240318,751,852,5,5,5,-119.47,119.47,Expense,Reversed,0,0
132,TXN-000132,20240601,480,989,3,2,5,-40.86,40.86,Expense,Completed,0,1
133,TXN-000133,20231031,708,150,4,13,4,-444.45,444.45,Expense,Pending,0,0
134,TXN-000134,20230612,355,49,3,1,6,-77.61,77.61,Expense,Completed,0,1
135,TXN-000135,20240517,79,39,1,1,4,-81.83,81.83,Expense,Completed,0,0
136,TXN-000136,20220909,190,970,10,,6,4068.9,4068.9,Income,Completed,0,1
137,TXN-000137,20231108,282,166,4,10,7,-69.92,69.92,Expense,Completed,0,0
138,TXN-000138,20220723,285,923,18,18,6,-2137.82,2137.82,Expense,Completed,1,0
139,TXN-000139,20221214,480,814,3,5,7,-254.37,254.37,Expense,Completed,0,1
140,TXN-000140,20220531,506,604,16,1,7,-284.14,284.14,Expense,Completed,0,1
141,TXN-000141,20240903,392,443,18,11,7,-2687.36,2687.36,Expense,Completed,0,0
142,TXN-000142,20230704,662,233,1,15,7,-114.03,114.03,Expense,Pending,0,0
143,TXN-000143,20230208,389,941,7,19,5,-455.98,455.98,Expense,Completed,0,0
144,TXN-000144,20220725,653,777,14,,4,-3729.43,3729.43,Transfer,Completed,0,0
145,TXN-000145,20241122,220,846,1,1,4,-203.74,203.74,Expense,Completed,0,0
146,TXN-000146,20220801,163,986,4,16,4,-364.85,364.85,Expense,Completed,0,0
147,TXN-000147,20231017,114,434,7,5,6,-367.64,367.64,Expense,Pending,0,0
148,TXN-000148,20220128,57,383,1,17,6,-454.05,454.05,Expense,Completed,0,0
149,TXN-000149,20231215,84,791,2,8,4,-1888.63,1888.63,Expense,Completed,0,1
150,TXN-000150,20240921,220,10,11,,5,494.73,494.73,Income,Completed,0,0
151,TXN-000151,20240518,12,818,1,13,2,-191.83,191.83,Expense,Completed,0,0
152,TXN-000152,20230302,290,596,1,9,2,-229.06,229.06,Expense,Completed,1,0
153,TXN-000153,20230318,460,612,14,,5,-1349.35,1349.35,Transfer,Completed,0,0
154,TXN-000154,20240705,149,959,10,,6,9482.5,9482.5,Income,Completed,0,1
155,TXN-000155,20230606,382,802,16,10,2,-361.79,361.79,Expense,Completed,0,1
156,TXN-000156,20220213,422,172,1,14,7,-22.6,22.6,Expense,Reversed,0,0
157,TXN-000157,20240904,423,629,6,16,6,-104.0,104.0,Expense,Pending,0,0
158,TXN-000158,20240114,537,209,7,8,1,-499.65,499.65,Expense,Completed,0,0
159,TXN-000159,20230325,678,357,3,3,5,-164.24,164.24,Expense,Completed,0,1
160,TXN-000160,20240618,114,434,8,16,2,-200.44,200.44,Expense,Completed,0,0
161,TXN-000161,20230330,361,828,10,,4,9295.31,9295.31,Income,Completed,0,1
162,TXN-000162,20231220,462,215,5,5,3,-27.18,27.18,Expense,Failed,0,0
163,TXN-000163,20230624,161,579,11,,6,264.84,264.84,Income,Completed,0,0
164,TXN-000164,20230901,689,397,1,13,4,-441.57,441.57,Expense,Completed,0,0
165,TXN-000165,20240606,503,123,12,,5,3698.49,3698.49,Income,Completed,0,0
166,TXN-000166,20220602,553,171,9,17,5,-85.22,85.22,Expense,Pending,0,0
167,TXN-000167,20230303,166,687,1,13,4,-78.01,78.01,Expense,Completed,0,0
168,TXN-000168,20230525,283,211,2,15,2,-1623.18,1623.18,Expense,Completed,1,1
169,TXN-000169,20220907,7,603,6,7,3,-147.37,147.37,Expense,Pending,0,0
170,TXN-000170,20240115,597,825,3,20,1,-290.74,290.74,Expense,Completed,0,1
171,TXN-000171,20240909,138,218,20,,1,9701.3,9701.3,Income,Reversed,0,0
172,TXN-000172,20240210,249,248,1,12,5,-436.79,436.79,Expense,Reversed,0,0
173,TXN-000173,20221113,161,844,10,,7,4960.36,4960.36,Income,Completed,0,1
174,TXN-000174,20240712,633,314,1,3,3,-388.38,388.38,Expense,Completed,0,0
175,TXN-000175,20220708,433,633,3,7,1,-371.71,371.71,Expense,Failed,0,1
176,TXN-000176,20230718,492,51,11,,3,106.39,106.39,Income,Completed,0,0
177,TXN-000177,20231125,600,788,7,17,1,-107.98,107.98,Expense,Failed,0,0
178,TXN-000178,20230827,382,802,10,,6,6658.55,6658.55,Income,Completed,0,1
179,TXN-000179,20230920,675,581,13,,5,3156.47,3156.47,Transfer,Completed,0,0
180,TXN-000180,20240912,286,953,1,5,6,-356.94,356.94,Expense,Pending,0,0
181,TXN-000181,20240108,122,280,2,17,4,-2531.63,2531.63,Expense,Completed,0,1
182,TXN-000182,20220130,482,230,11,,5,252.15,252.15,Income,Completed,0,0
183,TXN-000183,20240320,16,980,2,14,4,-2549.85,2549.85,Expense,Completed,0,1
184,TXN-000184,20220601,6,387,3,7,2,-443.34,443.34,Expense,Completed,0,1
185,TXN-000185,20220124,110,337,19,6,1,-360.1,360.1,Expense,Completed,0,0
186,TXN-000186,20231121,289,982,1,14,7,-413.08,413.08,Expense,Completed,0,0
187,TXN-000187,20241025,76,373,3,10,6,-36.66,36.66,Expense,Completed,0,1
188,TXN-000188,20221028,567,197,1,4,1,-196.42,196.42,Expense,Completed,0,0
189,TXN-000189,20221124,503,123,4,5,2,-85.12,85.12,Expense,Completed,0,0
190,TXN-000190,20240903,743,3,4,3,5,-244.33,244.33,Expense,Completed,0,0
191,TXN-000191,20230801,743,3,15,14,4,-1688.32,1688.32,Expense,Completed,0,1
192,TXN-000192,20220527,130,822,6,19,1,-52.49,52.49,Expense,Completed,0,0
193,TXN-000193,20221203,172,979,1,3,3,-95.0,95.0,Expense,Completed,0,0
194,TXN-000194,20220728,431,106,4,19,1,-167.38,167.38,Expense,Completed,0,0
195,TXN-000195,20220424,270,77,5,5,2,-16.63,16.63,Expense,Completed,1,0
196,TXN-000196,20240908,454,182,13,,4,1970.63,1970.63,Transfer,Completed,0,0
197,TXN-000197,20220306,567,197,19,9,5,-92.36,92.36,Expense,Completed,0,0
198,TXN-000198,20230701,51,429,13,,3,1678.96,1678.96,Transfer,Completed,1,0
199,TXN-000199,20241023,619,42,6,9,1,-148.03,148.03,Expense,Completed,0,0
200,TXN-000200,20230324,6,387,16,14,4,-288.06,288.06,Expense,Completed,0,1
201,TXN-000201,20240524,736,778,1,18,3,-83.35,83.35,Expense,Completed,0,0
202,TXN-000202,20220519,588,566,10,,3,10809.01,10809.01,Income,Completed,0,1
203,TXN-000203,20220409,703,496,8,14,1,-480.22,480.22,Expense,Completed,0,0
204,TXN-000204,20240422,570,796,5,2,3,-110.11,110.11,Expense,Completed,0,0
205,TXN-000205,20220102,245,639,10,,3,10581.2,10581.2,Income,Completed,0,1
206,TXN-000206,20240828,206,325,10,,5,7071.79,7071.79,Income,Completed,0,1
207,TXN-000207,20220216,419,477,14,,3,-4826.44,4826.44,Transfer,Completed,0,0
208,TXN-000208,20220905,658,643,15,15,2,-1881.54,1881.54,Expense,Pending,0,1
209,TXN-000209,20230206,566,297,4,1,3,-448.02,448.02,Expense,Completed,0,0
210,TXN-000210,20230821,79,535,14,,1,-871.31,871.31,Transfer,Completed,0,0
211,TXN-000211,20240803,135,183,20,,6,6132.43,6132.43,Income,Completed,0,0
212,TXN-000212,20220830,288,927,5,19,7,-43.09,43.09,Expense,Completed,0,0
213,TXN-000213,20241025,358,966,20,,7,2189.84,2189.84,Income,Completed,0,0
214,TXN-000214,20221105,221,956,1,4,7,-437.64,437.64,Expense,Failed,0,0
215,TXN-000215,20230704,499,352,19,19,3,-75.72,75.72,Expense,Completed,0,0
216,TXN-000216,20220827,12,818,1,1,1,-468.33,468.33,Expense,Completed,0,0
217,TXN-000217,20240522,11,876,7,18,5,-451.11,451.11,Expense,Completed,0,0
218,TXN-000218,20240126,314,854,14,,2,-712.48,712.48,Transfer,Completed,0,0
219,TXN-000219,20240315,370,187,13,,1,210.28,210.28,Transfer,Completed,0,0
220,TXN-000220,20230928,637,899,4,6,6,-275.79,275.79,Expense,Failed,0,0
221,TXN-000221,20230103,392,500,13,,2,3054.82,3054.82,Transfer,Completed,0,0
222,TXN-000222,20221031,266,519,2,3,2,-2870.28,2870.28,Expense,Completed,0,1
223,TXN-000223,20230813,609,354,20,,7,3448.28,3448.28,Income,Completed,0,0
224,TXN-000224,20240616,425,534,5,9,2,-56.81,56.81,Expense,Completed,0,0
225,TXN-000225,20241115,236,17,3,15,5,-340.81,340.81,Expense,Completed,0,1
226,TXN-000226,20241118,226,998,10,,7,6861.65,6861.65,Income,Completed,0,1
227,TXN-000227,20230818,789,193,13,,4,4179.55,4179.55,Transfer,Completed,0,0
228,TXN-000228,20240624,270,563,20,,5,7948.18,7948.18,Income,Pending,0,0
229,TXN-000229,20240714,789,914,5,8,5,-45.34,45.34,Expense,Completed,0,0
230,TXN-000230,20220717,581,124,13,,7,484.96,484.96,Transfer,Completed,0,0
231,TXN-000231,20230721,200,67,5,8,6,-85.49,85.49,Expense,Completed,0,0
232,TXN-000232,20220414,66,430,2,9,4,-1661.51,1661.51,Expense,Completed,0,1
233,TXN-000233,20220330,561,24,3,17,6,-48.12,48.12,Expense,Completed,0,1
234,TXN-000234,20220919,491,654,4,1,6,-344.17,344.17,Expense,Completed,0,0
235,TXN-000235,20220909,419,722,13,,4,4873.84,4873.84,Transfer,Completed,0,0
236,TXN-000236,20220814,129,522,3,14,7,-231.03,231.03,Expense,Completed,0,1
237,TXN-000237,20230703,563,266,5,6,3,-69.67,69.67,Expense,Completed,0,0
238,TXN-000238,20220705,604,916,10,,3,2449.26,2449.26,Income,Completed,0,1
239,TXN-000239,20230410,691,537,17,6,7,-146.12,146.12,Expense,Completed,0,1
240,TXN-000240,20220416,318,40,10,,7,6391.8,6391.8,Income,Completed,0,1
241,TXN-000241,20230210,636,992,13,,3,4708.52,4708.52,Transfer,Pending,0,0
242,TXN-000242,20220624,257,746,3,1,4,-166.39,166.39,Expense,Failed,0,1
243,TXN-000243,20241230,497,471,7,13,5,-459.01,459.01,Expense,Completed,0,0
244,TXN-000244,20241204,452,511,6,8,7,-141.41,141.41,Expense,Completed,0,0
245,TXN-000245,20230814,674,990,5,4,4,-65.45,65.45,Expense,Completed,1,0
246,TXN-000246,20241119,87,839,7,6,3,-74.61,74.61,Expense,Reversed,0,0
247,TXN-000247,20240814,454,220,15,20,3,-1988.57,1988.57,Expense,Completed,0,1
248,TXN-000248,20241213,370,677,3,10,4,-462.74,462.74,Expense,Failed,0,1
249,TXN-000249,20220225,675,362,14,,5,-3060.14,3060.14,Transfer,Completed,0,0
250,TXN-000250,20230616,266,519,11,,7,162.96,162.96,Income,Completed,0,0
251,TXN-000251,20230621,482,230,3,4,7,-166.08,166.08,Expense,Completed,0,1
252,TXN-000252,20240930,764,189,18,19,3,-2085.63,2085.63,Expense,Pending,0,0
253,TXN-000253,20230623,764,189,16,11,1,-246.9,246.9,Expense,Completed,0,1
254,TXN-000254,20231208,333,730,11,,5,428.23,428.23,Income,Completed,0,0
255,TXN-000255,20240624,526,240,9,20,5,-401.54,401.54,Expense,Completed,0,0
256,TXN-000256,20240208,692,392,1,16,1,-460.56,460.56,Expense,Completed,0,0
257,TXN-000257,20221109,716,731,10,,5,3624.23,3624.23,Income,Completed,0,1
258,TXN-000258,20220817,506,824,10,,5,5780.33,5780.33,Income,Completed,0,1
259,TXN-000259,20220519,525,871,3,20,3,-398.08,398.08,Expense,Completed,0,1
260,TXN-000260,20220801,777,62,7,13,3,-383.65,383.65,Expense,Pending,0,0
261,TXN-000261,20231209,567,197,6,8,4,-13.82,13.82,Expense,Completed,0,0
262,TXN-000262,20220515,306,181,11,,5,279.09,279.09,Income,Completed,1,0
263,TXN-000263,20240811,51,429,6,15,7,-136.74,136.74,Expense,Completed,0,0
264,TXN-000264,20241125,390,272,11,,2,133.69,133.69,Income,Completed,0,0
265,TXN-000265,20220301,685,289,7,17,6,-415.44,415.44,Expense,Completed,0,0
266,TXN-000266,20230320,312,361,2,12,7,-2776.19,2776.19,Expense,Reversed,0,1
267,TXN-000267,20230124,295,619,2,13,4,-2190.64,2190.64,Expense,Completed,0,1
268,TXN-000268,20240129,571,865,1,1,7,-29.51,29.51,Expense,Completed,0,0
269,TXN-000269,20220630,216,236,1,17,7,-457.47,457.47,Expense,Completed,0,0
270,TXN-000270,20241228,310,353,18,16,1,-2317.17,2317.17,Expense,Pending,0,0
271,TXN-000271,20220807,525,871,17,10,4,-128.63,128.63,Expense,Pending,0,1
272,TXN-000272,20220601,196,922,18,11,3,-2201.57,2201.57,Expense,Completed,0,0
273,TXN-000273,20220627,38,847,19,8,7,-205.34,205.34,Expense,Completed,0,0
274,TXN-000274,20241204,444,720,4,2,4,-348.38,348.38,Expense,Completed,0,0
275,TXN-000275,20220611,658,501,3,18,7,-347.5,347.5,Expense,Completed,0,1
276,TXN-000276,20221120,637,706,17,2,3,-57.23,57.23,Expense,Pending,0,1
277,TXN-000277,20220221,78,547,4,9,3,-454.11,454.11,Expense,Completed,1,0
278,TXN-000278,20230405,290,596,3,7,2,-300.03,300.03,Expense,Completed,0,1
279,TXN-000279,20220227,14,458,13,,7,272.47,272.47,Transfer,Completed,0,0
280,TXN-000280,20220622,217,972,2,12,6,-1562.76,1562.76,Expense,Completed,0,1
281,TXN-000281,20220430,288,927,6,16,7,-106.97,106.97,Expense,Completed,0,0
282,TXN-000282,20240908,556,582,1,11,3,-341.18,341.18,Expense,Completed,0,0
283,TXN-000283,20240509,508,810,15,17,5,-414.47,414.47,Expense,Completed,0,1
284,TXN-000284,20220418,137,165,4,11,6,-458.23,458.23,Expense,Completed,0,0
285,TXN-000285,20221128,396,454,7,10,6,-388.84,388.84,Expense,Completed,0,0
286,TXN-000286,20231006,535,499,15,3,5,-979.28,979.28,Expense,Pending,0,1
287,TXN-000287,20240803,604,916,13,,4,4621.17,4621.17,Transfer,Completed,1,0
288,TXN-000288,20240130,626,663,3,14,6,-86.6,86.6,Expense,Failed,0,1
289,TXN-000289,20230615,406,609,8,3,4,-425.95,425.95,Expense,Pending,0,0
290,TXN-000290,20221226,408,1000,19,20,6,-222.58,222.58,Expense,Completed,0,0
291,TXN-000291,20231203,231,201,10,,5,2896.88,2896.88,Income,Completed,0,1
292,TXN-000292,20220623,172,242,2,12,5,-1221.07,1221.07,Expense,Completed,0,1
293,TXN-000293,20240902,183,792,4,14,6,-238.47,238.47,Expense,Failed,1,0
294,TXN-000294,20240831,24,991,10,,4,13895.76,13895.76,Income,Completed,1,1
295,TXN-000295,20240706,430,919,20,,6,9014.8,9014.8,Income,Completed,0,0
296,TXN-000296,20220413,683,145,14,,3,-543.5,543.5,Transfer,Completed,0,0
297,TXN-000297,20241005,61,622,1,7,4,-159.17,159.17,Expense,Failed,0,0
298,TXN-000298,20240325,340,36,20,,3,3834.79,3834.79,Income,Completed,0,0
299,TXN-000299,20221209,510,551,4,2,6,-321.28,321.28,Expense,Completed,0,0
300,TXN-000300,20220606,51,429,16,9,5,-380.93,380.93,Expense,Completed,0,1
301,TXN-000301,20240915,590,364,6,8,7,-53.74,53.74,Expense,Completed,0,0
302,TXN-000302,20230309,623,63,7,20,7,-404.27,404.27,Expense,Completed,0,0
303,TXN-000303,20220427,206,8,2,1,2,-1424.27,1424.27,Expense,Pending,0,1
304,TXN-000304,20220413,198,151,16,2,7,-248.73,248.73,Expense,Pending,0,1
305,TXN-000305,20240325,482,230,3,18,1,-395.82,395.82,Expense,Failed,0,1
306,TXN-000306,20231016,323,175,20,,3,8567.13,8567.13,Income,Failed,0,0
307,TXN-000307,20220630,75,250,10,,4,9337.63,9337.63,Income,Completed,0,1
308,TXN-000308,20240904,470,506,3,18,7,-362.25,362.25,Expense,Completed,0,1
309,TXN-000309,20240204,550,152,14,,3,-3041.25,3041.25,Transfer,Completed,0,0
310,TXN-000310,20230411,260,567,7,4,3,-216.7,216.7,Expense,Completed,0,0
311,TXN-000311,20241227,301,853,10,,1,7817.59,7817.59,Income,Completed,0,1
312,TXN-000312,20220213,532,798,14,,3,-2549.97,2549.97,Transfer,Completed,0,0
313,TXN-000313,20230928,320,330,16,4,3,-412.06,412.06,Expense,Completed,1,1
314,TXN-000314,20230731,730,427,1,15,1,-21.93,21.93,Expense,Completed,0,0
