account_key,account_id,customer_key,account_type,currency,balance,interest_rate_pct,account_status,opened_date
25,ACC-0025,118,Investment,NGN,347715.67,11.76,Active,2020-02-27
26,ACC-0026,520,Savings,USD,47615.9,2.32,Frozen,2018-09-03
27,ACC-0027,707,Fixed Deposit,GBP,142077.33,4.57,Active,2020-01-14
28,ACC-0028,782,Credit Card,GBP,-14820.46,18.74,Active,2023-05-28
29,ACC-0029,198,Investment,USD,357480.17,9.33,Active,2019-06-15
30,ACC-0030,100,Savings,CAD,11957.3,2.64,Active,2022-11-15
31,ACC-0031,638,Loan,NGN,-142575.9,15.43,Active,2016-07-11
32,ACC-0032,674,Loan,EUR,-54414.5,6.43,Inactive,2016-05-27
33,ACC-0033,200,Fixed Deposit,AUD,181989.56,7.19,Frozen,2017-05-16
34,ACC-0034,565,Loan,EUR,-170900.97,7.16,Active,2019-11-25
35,ACC-0035,446,Credit Card,EUR,-9356.81,17.22,Inactive,2022-05-25
36,ACC-0036,340,Investment,EUR,341112.78,4.13,Active,2018-12-13
37,ACC-0037,468,Fixed Deposit,NGN,146685.0,5.34,Active,2023-04-21
38,ACC-0038,419,Current,NGN,63891.37,0.22,Frozen,2018-01-22
39,ACC-0039,79,Savings,USD,37366.24,2.63,Active,2021-11-19
40,ACC-0040,318,Current,NGN,82020.34,0.15,Active,2015-03-26
41,ACC-0041,718,Current,NGN,78266.52,0.45,Active,2020-12-22
42,ACC-0042,619,Current,NGN,13425.8,0.17,Active,2017-07-16
43,ACC-0043,356,Credit Card,CAD,-6945.56,22.96,Active,2016-03-08
44,ACC-0044,616,Credit Card,CAD,-2777.21,16.9,Active,2016-04-16
45,ACC-0045,523,Savings,GBP,46606.67,3.27,Closed,2016-01-25
46,ACC-0046,486,Loan,EUR,-135084.17,15.08,Active,2020-11-06
47,ACC-0047,491,Fixed Deposit,NGN,69300.27,8.58,Inactive,2017-10-21
48,ACC-0048,215,Investment,NGN,87291.17,6.2,Active,2017-02-03
49,ACC-0049,355,Current,USD,44921.45,0.81,Inactive,2016-11-22
50,ACC-0050,653,Current,CAD,22807.6,0.53,Active,2022-09-27
51,ACC-0051,492,Fixed Deposit,EUR,50035.93,5.97,Active,2019-11-13
52,ACC-0052,618,Savings,NGN,36574.42,1.78,Active,2020-10-12
53,ACC-0053,675,Loan,USD,-88036.24,8.88,Active,2015-11-27
54,ACC-0054,791,Investment,USD,424230.21,5.2,Active,2016-02-23
55,ACC-0055,438,Credit Card,NGN,-7263.55,16.41,Closed,2022-12-10
56,ACC-0056,136,Current,CAD,60280.43,0.26,Active,2020-02-22
57,ACC-0057,782,Savings,EUR,47244.45,2.02,Active,2020-08-19
58,ACC-0058,618,Credit Card,AUD,-4927.47,17.42,Active,2023-07-17
59,ACC-0059,220,Investment,USD,24121.99,9.05,Active,2021-03-18
60,ACC-0060,651,Loan,EUR,-171269.38,6.62,Active,2020-03-03
61,ACC-0061,793,Investment,EUR,264631.8,3.91,Active,2022-05-09
62,ACC-0062,777,Fixed Deposit,NGN,51120.95,6.71,Active,2015-11-01
63,ACC-0063,623,Loan,NGN,-59929.78,7.8,Active,2020-02-22
64,ACC-0064,28,Investment,EUR,277543.51,11.02,Active,2019-01-14
65,ACC-0065,302,Current,AUD,75010.22,0.79,Active,2017-03-18
66,ACC-0066,560,Investment,USD,255078.34,6.43,Active,2023-06-02
67,ACC-0067,200,Loan,NGN,-5184.11,9.51,Active,2016-10-04
68,ACC-0068,377,Savings,EUR,26204.59,3.54,Closed,2020-03-17
69,ACC-0069,47,Loan,EUR,-147858.23,12.62,Active,2021-04-02
70,ACC-0070,378,Savings,NGN,26236.31,4.5,Inactive,2019-12-09
71,ACC-0071,153,Loan,EUR,-159956.74,17.65,Active,2020-07-19
72,ACC-0072,569,Credit Card,USD,-699.19,23.39,Active,2016-09-18
73,ACC-0073,472,Savings,USD,32375.05,2.27,Active,2019-06-17
74,ACC-0074,786,Loan,USD,-102044.55,8.23,Active,2023-05-15
75,ACC-0075,387,Savings,NGN,36196.84,4.19,Active,2023-07-28
76,ACC-0076,492,Credit Card,NGN,-12328.88,18.1,Active,2022-07-21
77,ACC-0077,270,Credit Card,CAD,-14402.63,23.89,Active,2018-01-05
78,ACC-0078,208,Savings,USD,30264.07,1.98,Active,2023-02-07
79,ACC-0079,222,Investment,GBP,416139.66,3.0,Active,2021-03-06
80,ACC-0080,97,Loan,CAD,-95510.99,15.39,Inactive,2017-12-03
81,ACC-0081,40,Credit Card,NGN,-4489.95,19.26,Active,2022-04-28
82,ACC-0082,298,Current,NGN,34723.87,0.25,Active,2022-12-20
83,ACC-0083,407,Fixed Deposit,NGN,13146.63,4.13,Active,2019-01-21
84,ACC-0084,126,Savings,GBP,6608.68,2.44,Active,2022-03-22
85,ACC-0085,468,Credit Card,CAD,-5305.65,18.4,Active,2017-12-05
86,ACC-0086,338,Investment,USD,281252.6,8.89,Closed,2015-09-25
87,ACC-0087,629,Loan,USD,-103276.67,15.04,Active,2022-06-01
88,ACC-0088,631,Fixed Deposit,NGN,30775.27,6.75,Active,2019-09-20
89,ACC-0089,395,Loan,AUD,-137776.63,15.62,Active,2023-10-16
90,ACC-0090,598,Current,USD,38705.31,0.95,Active,2022-12-12
91,ACC-0091,701,Credit Card,NGN,-10134.11,16.19,Active,2015-04-12
92,ACC-0092,418,Loan,GBP,-19164.71,12.13,Active,2022-12-15
93,ACC-0093,99,Savings,USD,27009.29,3.36,Active,2020-10-26
94,ACC-0094,411,Fixed Deposit,NGN,184404.75,6.08,Inactive,2022-05-04
95,ACC-0095,364,Loan,NGN,-103305.77,10.25,Active,2019-06-25
96,ACC-0096,286,Fixed Deposit,EUR,30101.06,4.36,Active,2018-01-20
97,ACC-0097,602,Current,NGN,73826.45,0.91,Frozen,2016-06-27
98,ACC-0098,341,Savings,USD,17567.2,4.74,Active,2022-12-21
99,ACC-0099,733,Investment,CAD,95574.15,5.18,Active,2021-07-17
100,ACC-0100,280,Current,CAD,65622.63,0.59,Closed,2022-06-11
101,ACC-0101,722,Credit Card,GBP,-8033.28,21.34,Inactive,2017-01-25
102,ACC-0102,175,Loan,NGN,-22668.47,8.47,Active,2015-06-01
103,ACC-0103,643,Loan,USD,-189871.05,8.55,Active,2020-11-17
104,ACC-0104,13,Current,EUR,51484.94,0.27,Active,2017-08-27
105,ACC-0105,110,Fixed Deposit,USD,160433.09,4.84,Active,2019-12-03
106,ACC-0106,431,Savings,CAD,12617.39,3.15,Active,2021-07-04
107,ACC-0107,687,Current,NGN,28917.71,0.59,Closed,2015-03-22
108,ACC-0108,511,Investment,NGN,303480.24,8.96,Active,2016-03-03
109,ACC-0109,176,Credit Card,NGN,-4537.3,24.74,Active,2021-10-20
110,ACC-0110,169,Savings,GBP,34015.64,4.39,Active,2015-01-12
111,ACC-0111,176,Credit Card,USD,-11623.22,19.43,Active,2020-11-13
112,ACC-0112,318,Savings,NGN,48061.51,3.42,Active,2020-10-05
113,ACC-0113,206,Fixed Deposit,NGN,5509.99,6.31,Active,2017-07-27
114,ACC-0114,288,Savings,EUR,31817.09,3.01,Active,2023-05-26
115,ACC-0115,710,Investment,NGN,494436.4,4.75,Closed,2021-02-25
116,ACC-0116,348,Current,NGN,15750.72,0.31,Closed,2023-03-24
117,ACC-0117,312,Loan,NGN,-27765.53,15.67,Active,2018-02-23
118,ACC-0118,331,Loan,NGN,-119097.03,15.72,Active,2022-11-27
119,ACC-0119,564,Investment,NGN,359472.05,3.4,Active,2018-12-14
120,ACC-0120,481,Credit Card,CAD,-6088.58,23.73,Active,2015-02-25
121,ACC-0121,733,Current,USD,27182.55,0.46,Active,2017-05-15
122,ACC-0122,323,Current,NGN,9848.76,0.66,Closed,2018-05-18
123,ACC-0123,503,Savings,CAD,45773.39,4.37,Active,2019-03-20
124,ACC-0124,581,Current,AUD,51277.62,0.77,Active,2021-03-23
125,ACC-0125,248,Investment,CAD,471599.14,4.15,Closed,2022-03-24
126,ACC-0126,522,Savings,NGN,36564.54,4.88,Active,2015-07-19
127,ACC-0127,371,Fixed Deposit,CAD,116970.34,4.86,Active,2015-12-27
128,ACC-0128,537,Fixed Deposit,CAD,37412.21,5.7,Active,2020-05-12
129,ACC-0129,453,Savings,USD,7802.9,1.67,Active,2019-03-26
130,ACC-0130,120,Fixed Deposit,USD,80864.52,6.53,Active,2021-11-04
131,ACC-0131,413,Credit Card,NGN,-4030.04,16.29,Active,2017-07-09
132,ACC-0132,275,Credit Card,NGN,-13501.92,19.77,Active,2023-07-09
133,ACC-0133,357,Savings,USD,17205.16,2.2,Active,2015-10-11
134,ACC-0134,137,Current,GBP,80828.74,0.88,Closed,2016-08-22
135,ACC-0135,410,Fixed Deposit,NGN,44647.43,4.01,Active,2016-03-14
136,ACC-0136,605,Investment,USD,367468.36,4.24,Active,2015-05-04
137,ACC-0137,639,Fixed Deposit,NGN,143686.4,5.99,Active,2015-02-22
138,ACC-0138,206,Credit Card,NGN,-3266.3,17.58,Active,2021-05-05
139,ACC-0139,718,Credit Card,GBP,-14636.85,15.81,Closed,2017-01-05
140,ACC-0140,784,Current,NGN,4753.54,0.54,Active,2020-04-17
141,ACC-0141,601,Loan,NGN,-130961.08,7.29,Active,2018-04-23
142,ACC-0142,310,Savings,USD,843.95,2.44,Active,2016-06-13
143,ACC-0143,44,Savings,GBP,8334.53,1.53,Active,2021-12-06
144,ACC-0144,61,Loan,USD,-13545.18,14.96,Active,2023-09-07
145,ACC-0145,683,Current,USD,49900.13,0.78,Active,2020-05-27
146,ACC-0146,708,Credit Card,GBP,-5501.58,18.01,Active,2021-10-17
147,ACC-0147,721,Credit Card,USD,-14238.87,17.75,Active,2019-01-18
148,ACC-0148,442,Credit Card,NGN,-13242.55,18.06,Active,2018-09-18
149,ACC-0149,675,Credit Card,EUR,-5238.62,21.23,Active,2015-05-01
150,ACC-0150,708,Current,USD,70343.62,0.54,Inactive,2022-04-09
151,ACC-0151,198,Current,NGN,43659.46,0.95,Active,2021-02-06
152,ACC-0152,550,Savings,USD,24271.43,1.85,Closed,2023-09-10
153,ACC-0153,500,Fixed Deposit,USD,103013.75,5.95,Frozen,2015-02-19
154,ACC-0154,279,Fixed Deposit,NGN,154723.6,7.96,Active,2018-09-27
155,ACC-0155,516,Fixed Deposit,EUR,9364.87,4.08,Inactive,2020-01-15
156,ACC-0156,205,Loan,USD,-196353.92,9.83,Active,2016-07-25
157,ACC-0157,719,Savings,EUR,3394.63,4.98,Inactive,2017-01-27
158,ACC-0158,682,Investment,GBP,94095.18,6.8,Active,2022-07-15
159,ACC-0159,110,Savings,USD,8178.22,2.36,Active,2018-01-09
160,ACC-0160,444,Fixed Deposit,USD,7215.52,5.97,Active,2017-04-08
161,ACC-0161,508,Loan,USD,-28919.02,15.17,Closed,2016-08-28
162,ACC-0162,779,Credit Card,CAD,-2362.47,21.65,Inactive,2018-01-18
163,ACC-0163,787,Loan,USD,-137980.9,17.16,Inactive,2021-07-24
164,ACC-0164,215,Investment,NGN,6753.44,8.44,Active,2020-08-08
165,ACC-0165,137,Fixed Deposit,EUR,80814.41,6.41,Active,2015-10-01
166,ACC-0166,282,Credit Card,GBP,-3447.6,16.49,Active,2020-01-20
167,ACC-0167,766,Loan,USD,-156930.27,8.69,Active,2021-01-19
168,ACC-0168,571,Investment,NGN,267452.54,8.16,Active,2022-09-01
169,ACC-0169,395,Credit Card,GBP,-10351.75,23.8,Active,2021-03-23
170,ACC-0170,758,Fixed Deposit,NGN,182205.82,7.77,Inactive,2023-01-08
171,ACC-0171,553,Savings,NGN,38217.64,4.94,Active,2017-01-09
172,ACC-0172,422,Credit Card,EUR,-911.44,15.46,Closed,2015-10-27
173,ACC-0173,761,Loan,NGN,-98498.13,9.17,Active,2023-05-22
174,ACC-0174,291,Credit Card,NGN,-3371.19,24.56,Frozen,2022-03-27
175,ACC-0175,323,Credit Card,USD,-53.72,18.23,Closed,2019-06-07
176,ACC-0176,269,Credit Card,GBP,-815.17,22.68,Active,2017-12-18
177,ACC-0177,250,Fixed Deposit,EUR,134314.13,6.95,Inactive,2019-02-28
178,ACC-0178,638,Loan,GBP,-164656.89,17.22,Active,2021-10-12
179,ACC-0179,271,Fixed Deposit,GBP,58742.29,8.39,Active,2019-06-17
180,ACC-0180,19,Loan,USD,-5781.4,12.77,Active,2019-03-24
181,ACC-0181,306,Loan,CAD,-177203.23,17.19,Active,2022-09-02
182,ACC-0182,454,Fixed Deposit,GBP,88545.94,7.26,Active,2022-08-10
183,ACC-0183,135,Credit Card,GBP,-2666.51,24.47,Active,2020-09-25
184,ACC-0184,445,Credit Card,CAD,-7157.37,21.62,Active,2021-01-09
185,ACC-0185,274,Savings,AUD,49938.64,2.12,Active,2020-03-05
186,ACC-0186,546,Investment,USD,22335.28,6.41,Active,2015-01-09
187,ACC-0187,370,Fixed Deposit,USD,194557.55,6.82,Active,2021-06-24
188,ACC-0188,205,Fixed Deposit,EUR,125654.41,4.01,Active,2022-09-13
189,ACC-0189,764,Credit Card,USD,-6048.63,19.28,Active,2023-04-17
190,ACC-0190,740,Current,EUR,14591.92,0.86,Inactive,2021-10-02
191,ACC-0191,106,Credit Card,GBP,-5287.69,17.33,Active,2018-03-24
192,ACC-0192,725,Fixed Deposit,GBP,119207.76,7.28,Active,2019-10-06
193,ACC-0193,789,Loan,GBP,-128150.34,12.1,Active,2019-10-16
194,ACC-0194,308,Investment,GBP,429319.18,8.89,Active,2018-10-24
195,ACC-0195,318,Fixed Deposit,NGN,171650.57,4.96,Active,2021-04-16
196,ACC-0196,128,Investment,USD,280610.27,11.17,Active,2022-10-10
197,ACC-0197,567,Fixed Deposit,EUR,96288.83,8.06,Active,2021-11-19
198,ACC-0198,703,Current,NGN,16576.7,0.96,Active,2023-04-03
199,ACC-0199,64,Credit Card,USD,-13161.31,22.93,Active,2019-08-09
200,ACC-0200,605,Credit Card,NGN,-4193.46,17.47,Active,2021-08-02
201,ACC-0201,231,Savings,NGN,38612.59,4.75,Active,2022-03-14
202,ACC-0202,314,Fixed Deposit,USD,31047.24,5.57,Active,2023-12-05
203,ACC-0203,395,Savings,NGN,17843.08,3.87,Active,2018-11-05
204,ACC-0204,727,Investment,NGN,79224.91,7.62,Active,2016-01-20
205,ACC-0205,376,Investment,USD,267481.27,8.96,Active,2022-09-09
206,ACC-0206,698,Credit Card,USD,-11645.6,20.5,Active,2017-08-28
207,ACC-0207,487,Loan,NGN,-114578.39,17.32,Active,2023-06-22
208,ACC-0208,498,Loan,NGN,-9035.32,16.42,Active,2018-05-17
209,ACC-0209,537,Savings,USD,44458.99,2.28,Closed,2021-01-20
210,ACC-0210,111,Savings,USD,27148.09,2.1,Active,2018-02-22
211,ACC-0211,283,Investment,USD,277032.34,7.42,Closed,2020-06-23
212,ACC-0212,472,Loan,CAD,-142531.53,15.79,Active,2021-12-09
213,ACC-0213,350,Loan,CAD,-176289.5,7.13,Active,2017-08-15
214,ACC-0214,99,Loan,CAD,-71545.73,10.4,Active,2017-09-15
215,ACC-0215,462,Investment,NGN,434064.76,6.98,Active,2018-05-24
216,ACC-0216,516,Fixed Deposit,USD,161146.73,4.2,Active,2017-09-08
217,ACC-0217,582,Investment,NGN,442303.34,4.76,Active,2020-05-23
218,ACC-0218,138,Investment,NGN,431801.02,10.06,Inactive,2023-01-14
219,ACC-0219,387,Investment,USD,308740.59,6.2,Active,2017-05-19
220,ACC-0220,454,Current,NGN,98689.81,0.13,Active,2023-11-03
221,ACC-0221,711,Investment,NGN,11821.07,8.87,Active,2018-10-26
222,ACC-0222,270,Loan,CAD,-86485.9,7.57,Active,2022-03-22
223,ACC-0223,662,Savings,EUR,14134.06,3.27,Active,2016-01-22
224,ACC-0224,554,Loan,EUR,-63893.26,7.73,Inactive,2020-02-24
225,ACC-0225,444,Loan,NGN,-40743.4,17.43,Active,2019-05-04
226,ACC-0226,469,Credit Card,CAD,-10109.44,20.66,Active,2021-05-22
227,ACC-0227,701,Investment,USD,59197.29,8.65,Active,2021-01-08
228,ACC-0228,749,Fixed Deposit,USD,55868.15,4.58,Active,2020-09-11
229,ACC-0229,132,Fixed Deposit,NGN,187314.54,7.79,Active,2021-10-03
230,ACC-0230,482,Fixed Deposit,USD,98105.9,6.96,Inactive,2020-10-16
231,ACC-0231,44,Loan,USD,-86068.09,10.81,Active,2016-04-04
232,ACC-0232,325,Credit Card,USD,-1057.31,20.63,Inactive,2016-10-02
233,ACC-0233,662,Savings,NGN,36608.05,4.82,Active,2019-07-01
234,ACC-0234,744,Current,NGN,70520.18,0.14,Active,2019-08-11
235,ACC-0235,787,Investment,EUR,133648.96,10.54,Active,2018-09-27
236,ACC-0236,216,Fixed Deposit,USD,91124.78,7.52,Active,2018-01-16
237,ACC-0237,269,Loan,USD,-95900.98,13.27,Active,2022-01-22
238,ACC-0238,587,Fixed Deposit,CAD,125296.69,6.55,Active,2016-08-11
239,ACC-0239,633,Savings,AUD,28173.67,4.34,Active,2015-06-21
240,ACC-0240,526,Savings,USD,20850.28,2.64,Active,2019-08-03
241,ACC-0241,754,Savings,NGN,32623.54,2.41,Active,2018-05-26
242,ACC-0242,172,Credit Card,EUR,-6160.37,15.25,Active,2017-06-09
243,ACC-0243,189,Current,NGN,44173.71,0.64,Inactive,2019-12-07
244,ACC-0244,246,Investment,NGN,97996.91,5.05,Active,2018-11-28
245,ACC-0245,675,Investment,EUR,100812.79,5.54,Closed,2021-01-18
246,ACC-0246,666,Savings,USD,42695.97,2.03,Active,2016-12-16
247,ACC-0247,268,Credit Card,GBP,-9598.23,16.33,Active,2020-02-09
248,ACC-0248,249,Loan,GBP,-168766.48,16.58,Active,2023-02-17
249,ACC-0249,147,Fixed Deposit,NGN,145864.2,7.31,Active,2019-02-06
250,ACC-0250,75,Savings,NGN,13558.94,2.25,Active,2020-07-14
251,ACC-0251,151,Current,USD,26850.41,0.35,Active,2022-10-01
252,ACC-0252,486,Investment,GBP,478631.55,4.16,Inactive,2016-12-28
253,ACC-0253,325,Current,USD,22254.23,0.53,Inactive,2018-01-27
254,ACC-0254,700,Investment,EUR,381475.11,7.76,Active,2017-09-03
255,ACC-0255,168,Fixed Deposit,GBP,160286.99,8.92,Closed,2020-10-06
256,ACC-0256,541,Credit Card,CAD,-7169.1,22.04,Inactive,2017-12-01
257,ACC-0257,648,Fixed Deposit,NGN,113936.88,6.27,Closed,2019-03-27
258,ACC-0258,200,Savings,USD,41906.04,2.74,Active,2015-05-09
259,ACC-0259,591,Current,GBP,1705.47,0.42,Active,2017-10-26
260,ACC-0260,408,Fixed Deposit,GBP,74595.31,6.58,Active,2016-09-16
261,ACC-0261,430,Savings,NGN,1940.55,3.91,Active,2022-09-26
262,ACC-0262,490,Fixed Deposit,NGN,190082.88,6.23,Active,2020-05-24
263,ACC-0263,586,Investment,USD,449074.11,3.31,Closed,2015-05-04
264,ACC-0264,596,Fixed Deposit,GBP,46488.04,5.25,Active,2019-04-05
265,ACC-0265,266,Fixed Deposit,AUD,108189.97,7.95,Active,2023-02-18
266,ACC-0266,563,Loan,USD,-165398.21,7.44,Inactive,2015-06-28
267,ACC-0267,359,Fixed Deposit,NGN,195263.0,7.16,Active,2018-03-03
268,ACC-0268,174,Credit Card,GBP,-13099.34,19.38,Active,2021-03-19
269,ACC-0269,798,Investment,GBP,346854.13,6.78,Active,2016-10-26
270,ACC-0270,754,Savings,USD,2698.44,4.79,Active,2015-08-25
271,ACC-0271,353,Current,GBP,57120.64,0.77,Active,2015-08-09
272,ACC-0272,390,Credit Card,EUR,-2978.55,24.78,Active,2020-07-19
273,ACC-0273,435,Credit Card,USD,-5331.58,24.61,Inactive,2022-03-05
274,ACC-0274,680,Fixed Deposit,USD,126955.02,7.27,Closed,2022-04-04
275,ACC-0275,231,Current,NGN,70866.78,0.15,Active,2021-09-22
276,ACC-0276,220,Investment,EUR,445093.66,3.54,Active,2016-07-02
277,ACC-0277,673,Savings,NGN,341.84,3.22,Active,2023-02-11
278,ACC-0278,583,Loan,GBP,-182831.51,6.66,Active,2015-03-04
279,ACC-0279,648,Loan,CAD,-59071.33,14.97,Active,2015-07-14
280,ACC-0280,122,Investment,USD,117204.52,10.71,Active,2021-05-03
281,ACC-0281,253,Fixed Deposit,USD,79073.64,7.88,Active,2018-05-11
282,ACC-0282,768,Investment,NGN,361045.43,6.43,Active,2018-07-26
283,ACC-0283,792,Credit Card,GBP,-9297.35,20.78,Active,2023-01-17
284,ACC-0284,174,Current,USD,10637.02,0.28,Active,2023-05-19
285,ACC-0285,254,Savings,USD,11856.6,4.06,Active,2015-10-27
286,ACC-0286,514,Credit Card,NGN,-10467.87,20.58,Active,2020-11-20
287,ACC-0287,21,Investment,NGN,434297.75,8.83,Active,2018-04-02
288,ACC-0288,722,Loan,NGN,-32026.13,5.03,Active,2023-07-28
289,ACC-0289,685,Investment,USD,352426.91,6.69,Active,2018-09-15
290,ACC-0290,596,Investment,NGN,35408.29,6.13,Closed,2017-03-19
291,ACC-0291,545,Fixed Deposit,GBP,114431.34,7.44,Active,2016-12-27
292,ACC-0292,499,Savings,NGN,25107.92,4.87,Active,2019-05-06
293,ACC-0293,798,Investment,GBP,112688.6,10.96,Closed,2022-11-15
294,ACC-0294,87,Current,GBP,60426.23,0.59,Closed,2023-11-24
295,ACC-0295,60,Investment,USD,258378.46,5.3,Active,2017-08-23
296,ACC-0296,480,Savings,NGN,5425.52,1.65,Frozen,2017-05-10
297,ACC-0297,566,Investment,USD,498703.04,7.64,Active,2023-08-25
298,ACC-0298,414,Credit Card,NGN,-11587.65,23.98,Active,2023-12-26
299,ACC-0299,298,Current,AUD,42337.27,0.17,Active,2017-12-19
300,ACC-0300,488,Loan,USD,-191007.77,10.52,Active,2015-09-21
301,ACC-0301,766,Loan,NGN,-67986.69,5.26,Inactive,2020-04-02
302,ACC-0302,447,Savings,CAD,34157.88,2.11,Active,2023-08-25
303,ACC-0303,337,Current,USD,97877.62,0.62,Active,2018-01-19
304,ACC-0304,269,Investment,USD,207329.28,9.52,Active,2019-06-28
305,ACC-0305,448,Fixed Deposit,EUR,153399.0,6.38,Active,2016-05-05
306,ACC-0306,717,Credit Card,AUD,-2058.92,16.73,Active,2016-08-16
307,ACC-0307,505,Current,CAD,24008.57,0.89,Inactive,2017-08-10
308,ACC-0308,633,Credit Card,GBP,-2482.66,20.98,Active,2015-01-02
309,ACC-0309,357,Savings,NGN,47138.34,2.11,Inactive,2019-06-05
310,ACC-0310,14,Fixed Deposit,CAD,30038.28,6.46,Active,2018-04-28
311,ACC-0311,408,Investment,EUR,80011.09,9.75,Active,2021-10-11
312,ACC-0312,340,Savings,USD,28688.09,3.3,Closed,2022-10-02
313,ACC-0313,590,Fixed Deposit,USD,193959.09,7.97,Active,2018-06-25
314,ACC-0314,633,Investment,USD,228257.18,11.97,Active,2016-06-02
315,ACC-0315,639,Loan,USD,-100949.48,7.35,Closed,2019-11-14
316,ACC-0316,767,Savings,USD,44426.85,3.95,Active,2023-04-02
317,ACC-0317,501,Savings,EUR,2457.98,3.49,Active,2017-12-14
318,ACC-0318,141,Current,NGN,68873.62,0.58,Inactive,2022-06-11
319,ACC-0319,633,Current,NGN,18687.96,0.75,Active,2017-09-04
320,ACC-0320,770,Savings,NGN,16333.48,1.59,Active,2019-07-04
321,ACC-0321,102,Fixed Deposit,USD,151956.82,7.36,Closed,2018-10-01
322,ACC-0322,761,Credit Card,CAD,-3471.96,16.21,Active,2015-10-16
323,ACC-0323,531,Fixed Deposit,AUD,158476.12,7.45,Active,2019-02-23
324,ACC-0324,287,Savings,GBP,25062.71,1.73,Active,2023-04-05
325,ACC-0325,206,Loan,NGN,-199241.29,10.07,Active,2016-11-26
326,ACC-0326,663,Loan,USD,-112287.08,14.24,Active,2018-03-21
327,ACC-0327,389,Savings,NGN,349.78,2.63,Active,2016-04-02
328,ACC-0328,180,Fixed Deposit,GBP,11649.19,7.6,Active,2021-11-19
329,ACC-0329,325,Current,EUR,86919.39,0.95,Active,2016-04-07
330,ACC-0330,320,Investment,NGN,447186.58,5.3,Active,2015-06-18
331,ACC-0331,537,Investment,CAD,407143.1,4.11,Active,2016-08-05
332,ACC-0332,555,Fixed Deposit,EUR,114565.15,8.99,Active,2017-09-14
333,ACC-0333,763,Savings,NGN,48094.88,3.86,Active,2016-06-09
334,ACC-0334,328,Savings,AUD,45106.03,4.91,Inactive,2016-12-26
335,ACC-0335,640,Savings,EUR,3981.25,2.44,Inactive,2022-01-21
336,ACC-0336,712,Fixed Deposit,GBP,146435.8,5.53,Active,2023-10-07
337,ACC-0337,110,Credit Card,NGN,-3289.01,17.51,Active,2016-01-03
338,ACC-0338,590,Fixed Deposit,USD,160579.8,6.13,Inactive,2019-08-22
339,ACC-0339,308,Loan,USD,-157865.75,17.71,Active,2017-10-20
340,ACC-0340,229,Credit Card,GBP,-11782.66,16.76,Active,2019-04-09
341,ACC-0341,249,Loan,GBP,-29449.11,7.25,Active,2020-03-01
342,ACC-0342,174,Investment,EUR,286893.01,3.88,Active,2015-05-24
343,ACC-0343,342,Savings,GBP,24787.59,3.6,Active,2020-06-26
344,ACC-0344,644,Investment,EUR,332108.32,11.03,Active,2017-03-03
345,ACC-0345,324,Investment,NGN,288125.88,7.86,Active,2019-04-09
346,ACC-0346,698,Loan,USD,-37415.68,15.89,Inactive,2015-07-23
347,ACC-0347,134,Credit Card,NGN,-5339.34,16.39,Frozen,2016-01-28
348,ACC-0348,315,Fixed Deposit,GBP,124911.29,5.96,Closed,2023-08-05
349,ACC-0349,500,Credit Card,NGN,-2859.82,21.11,Frozen,2018-05-11
350,ACC-0350,548,Credit Card,EUR,-13496.15,22.9,Active,2022-01-18
351,ACC-0351,761,Current,USD,59870.53,0.45,Active,2015-03-19
